序号,题目,选项A,选项B,选项C,正确答案,解析
1,2020年7月，习近平总书记在吉林视察时指出，要坚持新发展理念，深入实施（ ）战略。,东北全面振兴,中部崛起,西部大开发,A,【解析】总书记视察吉林时强调，要深入实施东北全面振兴战略，加快推动新时代吉林全面振兴全方位振兴。
2,习近平总书记称赞（ ）是“耕地中的大熊猫”。,红土地,黑土地,黄土地,B,【解析】2020年总书记在梨树县视察时指出，黑土地是“耕地中的大熊猫”，要采取有效措施切实把黑土地保护好、利用好。
3,总书记强调，吉林要扛稳国家（ ）安全重任。,能源,粮食,金融,B,【解析】吉林是农业大省、粮食大省。总书记要求吉林坚持把保障粮食安全放在突出位置。
4,在视察中国一汽集团时，总书记指出（ ）是企业的灵魂，也是企业核心竞争力的源泉。,品牌,创新,管理,B,【解析】总书记强调，我们要有自己的民族汽车品牌，创新是企业的灵魂，要掌握核心技术。
5,习近平总书记对吉林提出的“（ ）”重要要求，是新时代吉林发展的根本遵循。,争当表率、争做示范、走在前列,新担当、新突破、新作为,真抓实干、攻坚克难,B,【解析】2020年总书记在吉林考察期间提出，要在新时代东北振兴中展现新担当、新突破、新作为。
6,总书记指出，要加快转换动力，把（ ）作为推动东北振兴的根本动力。,对外贸易,深化改革,基建投入,B,【解析】总书记强调，要以深化改革为动力，破除体制机制障碍，激发市场活力。
7,在长春新区视察时，总书记指出要加强（ ），提高自主创新能力。,重工业生产,科技创新转化,房地产开发,B,【解析】总书记关注高新技术企业，要求加强产学研协同创新，提高创新转化效率。
8,总书记视察吉林时强调，要保护好（ ）这一珍贵的自然资源。,长白山生态,松花江水源,湿地系统,A,【解析】总书记多次强调长白山的生态保护意义，要求守住绿水青山。
9,总书记视察长春市宽城区团山街道社区时，强调（ ）建设是城市治理的基础。,基层党组织,商业网点,交通网络,A,【解析】总书记指出，基础不牢，地动山摇。要加强基层党组织建设，提升社区治理水平。
10,习近平总书记强调，要加快推进（ ）现代化，率先实现农业现代化。,农村,工业,农业,C,【解析】吉林作为农业强省，总书记要求吉林要在农业现代化要求上走在全国前列。
11,总书记提出的“（ ）”理念，在吉林视察期间得到了反复强调。,绿水青山就是金山银山,先富带动后富,效率优先,A,【解析】吉林拥有良好的生态资源，总书记要求统筹好生态保护与经济发展。
12,视察四平市梨树县时，总书记详细了解（ ）生产模式。,黑土地保护利用“梨树模式”,大棚蔬菜,反季节水果,A,【解析】“梨树模式”通过秸秆覆盖还田等技术保护黑土地，受到总书记肯定。
13,总书记指出，要加强对（ ）的保护，确保国家粮食安全。,种子资源,化肥生产,农机销售,A,【解析】种子是农业的“芯片”，总书记强调要开展种源“卡脖子”技术攻关。
14,总书记视察吉林时提到，（ ）是吉林最鲜明的底色，也是最大的优势。,红色文化,绿色生态,工业基础,B,【解析】绿色生态是吉林的品牌，总书记要求做好绿色发展这篇大文章。
15,总书记强调，要以（ ）为抓手，推进东北地区营商环境持续优化。,行政命令,制度创新,增加补贴,B,【解析】优化营商环境是振兴的关键，需要通过法治和制度创新来实现。
16,在视察查干湖时，总书记强调（ ）保护和旅游开发要相得益彰。,生态环境,商业建筑,游船规模,A,【解析】总书记指出，查干湖是一张名片，要守护好这潭碧水。
17,总书记要求吉林要在（ ）中发挥更大作用。,参与国内大循环、联通国内国际双循环,减少对外开放,仅发展地方经济,A,【解析】吉林要融入新发展格局，提升开放水平。
18,总书记强调，要把（ ）作为民生工作的重中之重。,增加收入,就业,住房,B,【解析】就业是最大的民生，总书记在多个场合关心高校毕业生和基层就业。
19,总书记指出，吉林要发展（ ），推动旅游业高质量发展。,高能耗旅游,冰雪经济,虚拟旅游,B,【解析】吉林拥有冰雪资源优势，总书记提出“冰天雪地也是金山银山”。
20,总书记在吉林调研时指出，（ ）是振兴发展的关键。,人才,矿产,外资,A,【解析】人才是第一资源，总书记鼓励人才留在东北、建设东北。
21,在社区调研中，总书记指出要搞好（ ）服务，让群众有更多获得感。,精准化、精细化,大规模、统一化,高收费、高端化,A,【解析】社区服务要贴近群众需求，做到细致入微。
22,总书记视察吉林时提到的“三个五”战略是指（ ）的战略部署。,吉林省委确立的发展方向,一汽集团的口号,社区管理的口号,A,【解析】“三个五”战略是吉林省根据总书记精神确立的产业、区域和体制改革方向。
23,总书记指出，要坚持（ ）不动摇，把老工业基地做强做大。,大力发展房地产,深化国有企业改革,关闭传统工厂,B,【解析】国企改革是东北振兴的“重头戏”，总书记要求激发国企活力。
24,在视察中，总书记多次提到要弘扬（ ）精神，激励干部担当作为。,东北老工业基地,脱贫攻坚,奋斗,A,【解析】精神力量是发展的支撑。
25,总书记强调，吉林要积极参与（ ）建设，打造开放合作新高地。,大湾区,“一带一路”,自贸区,B,【解析】吉林要利用沿边优势，深度参与“一带一路”向北开放。
26,总书记对吉林提出的要求中，涉及“维护国家五大安全”，其中不包括（ ）。,国防安全,网络安全,生态安全,B,【解析】五大安全包括：国防安全、粮食安全、生态安全、能源安全、产业安全。
27,总书记指出，要加快（ ）强省建设。,工业,农业,科技,B,【解析】农业是吉林的压舱石，要建设现代化农业强省。
28,在视察吉林期间，总书记多次关心（ ）工作，强调要兜牢民生底线。,脱贫攻坚成果巩固,高科技研发,城市道路建设,A,【解析】要防止规模性返贫，确保民生保障。
29,总书记强调，要坚持（ ）对一切工作的领导。,市场,党,个人,B,【解析】坚持党的领导是实现振兴的根本保障。
30,总书记对吉林发展的总体定位是（ ）。,建设成为我国向北开放的重要窗口,建设成为金融中心,建设成为轻工业基地,A,【解析】这是总书记结合吉林区位优势提出的战略定位。
