序号,题目,选项A,选项B,选项C,正确答案,解析
1,《中华人民共和国国防法》规定，我国实行（ ）的国防政策。,扩张性,防御性,进攻性,B,【解析】我国坚定不移地走和平发展道路，实行防御性国防政策。背诵点：防御性国防政策。
2,（ ）是全民国防教育的基础。,学校的国防教育,企业的国防教育,政府的国防教育,A,【解析】《国防教育法》规定，学校的国防教育是全民国防教育的基础，是实施素质教育的重要内容。
3,每年（ ）为全民国防教育日。,9月的第三个星期六,8月1日,10月1日,A,【解析】全国人大常委会决定，每年9月第三个星期六为全民国防教育日。
4,我国的武装力量由中国人民解放军、中国人民武装警察部队和（ ）组成。,保安公司,民兵,红十字会,B,【解析】《国防法》明确我国武装力量的构成。背诵点：解放军、武警、民兵。
5,国防教育的核心是（ ）。,军事训练,爱国主义,武器知识,B,【解析】国防教育是以爱国主义为核心的，旨在增强公民的国防观念和国防素养。
6,（ ）领导全国的国防建设。,国务院,中央军事委员会,国务院和中央军事委员会,C,【解析】根据宪法和国防法，国务院和中央军委共同领导全国的国防建设。
7,下列哪项不属于公民应尽的国防义务？（ ）,服兵役,保护国防设施,私自出口军事物资,C,【解析】私自出口军事物资属于违法行为，不属于国防义务。
8,“天下虽安，忘战必危”体现了（ ）思想。,忧患意识和国防观念,和平主义,消极防守,A,【解析】这是古代军事名言，警示我们要时刻保持国防警惕。
9,（ ）是中国共产党绝对领导下的人民军队。,中国人民解放军,地方保安团,私人武装,A,【解析】党对军队的绝对领导是人民军队的建军之本、强军之魂。
10,国防动员是指国家为应对战争或其他突发事件，由（ ）转入（ ）状态的活动。,和平、战争,平时、战时,建设、破坏,B,【解析】国防动员是衔接平时与战时的桥梁。
11,西部计划志愿者了解国防知识，有助于（ ）。,提高工资,增强国家安全意识，更好服务边疆,逃避兵役,B,【解析】志愿者服务于中西部，增强国防意识有助于维护边疆稳固。
12,兵役法规定，我国实行（ ）的兵役制度。,义务兵与志愿兵相结合、民兵与预备役相结合,全员义务兵,全员雇佣兵,A,【解析】这是符合我国国情的兵役制度。
13,（ ）是国防的强大支柱。,强大的经济实力,人民群众,尖端武器,B,【解析】战争的伟力之最深厚的根源，存在于民众之中。
14,我国领土面积约为（ ）万平方千米。,960,1260,300,A,【解析】陆地领土面积约960万平方千米，海洋国土约300万平方千米。
15,下列属于现代国防观的是（ ）。,全民国防,单纯军事国防,消极边境防护,A,【解析】现代国防是综合国力的竞争，是全民、全方位、大深度的国防。
16,国防法规的最高效力等级是（ ）。,宪法,国防法,兵役法,A,【解析】宪法中关于国防的规定是国防法规的根本依据和最高准则。
17,志愿者的国防教育内容应包括（ ）。,只有队列训练,国防理论、国防知识、国防技能、国防精神,只有射击比赛,B,【解析】国防教育是全方位的综合素质教育。
18,（ ）是中国武装力量的骨干。,中国人民解放军,民兵,警察,A,【解析】解放军是维护国家主权和领土完整的核心力量。
19,中国人民武装警察部队属于（ ）序列。,中央军委,公安部,司法部,A,【解析】武警部队现在由党中央、中央军委集中统一领导。
20,保卫祖国、抵抗侵略是每一个（ ）的神圣职责。,军人,共产党员,中华人民共和国公民,C,【解析】国防义务具有全员性。
21,国防教育法规定，（ ）应当将国防教育纳入国民经济和社会发展计划。,县级以上人民政府,企业老板,志愿者组织,A,【解析】政府在国防教育中承担领导责任。
22,人民防空的宗旨是（ ）。,进攻敌人,保护人民生命财产安全,发展房地产业,B,【解析】人防工程是战时防备空袭、平时服务民生的重要设施。
23,“位卑未敢忘忧国”体现了（ ）优良传统。,爱国主义,个人奋斗,盲目自大,A,【解析】陆游的名句体现了中华民族强烈的国防意识和报国志向。
24,志愿者在边疆服务时，遇到非法测绘行为应当（ ）。,协助对方,及时制止并向有关部门报告,视而不见,B,【解析】保护国家地理地理秘密是维护国防安全的一部分。
25,国防教育的原则是：经常教育与集中教育相结合、（ ）相结合、理论教育与行为教育相结合。,普及教育与重点教育,国内教育与国外教育,学校教育与家庭教育,A,【解析】这是国防教育法规定的实施原则。
26,空防安全是（ ）的重要组成部分。,领土主权,国防安全,城市规划,B,【解析】维护领空安全是主权国家的必然要求。
27,“双拥”工作是指（ ）。,拥军优属、拥政爱民,拥有财富、拥有地位,拥护改革、拥护开放,A,【解析】双拥是加强军政军民团结的重要保障。
28,国防动员的对象包括（ ）。,只有人员,人员、财物、场地等战略资源,只有食物,B,【解析】动员是国家综合实力的整体转化。
29,在西部计划支教中融入国防教育，可以（ ）。,增加学生负担,培养学生的爱国情怀和英雄气概,只为了提高升学率,B,【解析】边疆教育中，爱国主义和国防教育尤为重要。
30,习近平强军思想的核心是（ ）。,多买武器,建设一支听党指挥、能打胜仗、作风优良的人民军队,提高军人待遇,B,【解析】这是实现中华民族伟大复兴的坚强后盾。
