序号,题目,选项A,选项B,选项C,正确答案,解析
1,中国共产党的精神之源是（ ）。,井冈山精神,长征精神,伟大建党精神,C,习近平总书记在庆祝中国共产党成立100周年大会上指出，伟大建党精神是中国共产党的精神之源。
2,伟大建党精神的内涵是：坚持真理、坚守理想，践行初心、担当使命，（ ），对党忠诚、不负人民。,艰苦奋斗、自强不息,不怕牺牲、英勇斗争,实事求是、敢闯新路,B,伟大建党精神的内涵包括：坚持真理、坚守理想，践行初心、担当使命，不怕牺牲、英勇斗争，对党忠诚、不负人民。
3,（ ）开辟了“工农武装割据”的胜利道路。,井冈山精神,延安精神,西柏坡精神,A,井冈山精神最重要的贡献是开辟了农村包围城市、武装夺取政权的正确革命道路。
4,长征精神的核心是（ ）。,艰苦奋斗,红军将士表现出的革命英雄主义和革命乐观主义,官兵一致,B,长征精神是红军在艰苦卓绝的战略转移中表现出的英雄气概和对革命必胜的信念。
5,（ ）是中国共产党人精神谱系中的重要组成部分，其核心是全心全意为人民服务、实事求是。,延安精神,大庆精神,雷锋精神,A,延安精神的主要内容是坚定正确的政治方向、解放思想实事求是的思想路线、全心全意为人民服务的根本宗旨、自力更生艰苦奋斗的创业精神。
6,“实事求是”是（ ）的精髓。,井冈山精神,延安精神,抗战精神,B,延安时期，毛泽东同志为中央党校题写了“实事求是”四个大字，使其成为党的思想路线的内核。
7,（ ）体现了中国人民同仇敌忾、民族觉醒的伟大力量。,抗战精神,抗美援朝精神,抗洪精神,A,中国人民抗日战争是在中国共产党倡导的抗日民族统一战线旗帜下实现的全局性抗战。
8,抗美援朝精神的核心是（ ）。,国际主义精神,祖国和人民利益高于一切的爱国主义精神,革命英雄主义精神,B,抗美援朝精神是中国人民志愿军在保家卫国战争中铸就的伟大精神。
9,“两弹一星”精神是指（ ）。,热爱祖国、无私奉献，自力更生、艰苦奋斗，大力协同、勇于登攀,开拓创新、实事求是,不怕困难、敢打必胜,A,两弹一星精神是20世纪50至70年代老一辈科学家在极其艰苦条件下创造的。
10,（ ）是中国共产党人在解放战争后期形成的，核心是“两个务必”。,延安精神,西柏坡精神,红岩精神,B,西柏坡精神强调务必使同志们继续地保持谦虚、谨慎、不骄、不躁的作风，务必使同志们继续地保持艰苦奋斗的作风。
11,雷锋精神的实质和核心是（ ）。,刻苦钻研的钉子精神,勤俭节约的精神,全心全意为人民服务，为了人民的事业无私奉献,C,雷锋精神体现了全心全意为人民服务的赤诚。
12,（ ）是中国改革开放精神的缩影，核心是“敢闯、敢试、敢为天下先”。,特区精神,航天精神,丝路精神,A,特区精神是在深圳等经济特区建设过程中形成的。
13,焦裕禄精神的内涵不包括（ ）。,亲民爱民,贪图享乐,艰苦奋斗,B,焦裕禄精神是亲民爱民、艰苦奋斗、科学求实、迎难而上、无私奉献。
14,“上下同心、尽锐出战、精准务实、开拓创新、攻坚克难、不负人民”描述的是（ ）。,抗疫精神,脱贫攻坚精神,科学家精神,B,这是习近平总书记总结的脱贫攻坚精神。
15,（ ）是新时代中国航天人铸就的精神，核心是“自主创新、自强不息”。,探月精神,两弹一星精神,载人航天精神,A,探月精神是追逐梦想、勇于探索、协同攻坚、合作共赢。
16,（ ）体现了中国人民在灾难面前众志成城、敢于斗争的品质。,抗洪精神,奥运精神,丝路精神,A,抗洪精神是万众一心、众志成城，不怕困难、顽强拼搏，坚韧不拔、敢于胜利。
17,“生命至上、举国同心、舍生忘死、尊重科学、命运与共”是（ ）。,抗洪精神,伟大抗疫精神,抗震救灾精神,B,这是对新时代中国抗疫实践中凝练的精神的高度概括。
18,（ ）是以爱国主义为核心的民族精神和以改革创新为核心的时代精神的生动体现。,中国精神,集体精神,革命精神,A,中国精神是民族精神和时代精神的统一。
19,红岩精神产生于（ ）。,土地革命时期,抗日战争和解放战争时期,新中国成立后,B,红岩精神是在抗日战争和解放战争时期，由以周恩来同志为代表的中共中央南方局铸就的。
20,苏区精神的核心是（ ）。,坚定信念,求真务实,一心为民,A,苏区精神主要内容：坚定信念、求真务实、一心为民、清正廉洁、艰苦奋斗、争创一流、无私奉献。其核心是坚定信念。
21,北大荒精神的内容是“艰苦奋斗、勇于开拓、顾全大局、（ ）”。,无私奉献,默默无闻,敢为人先,A,北大荒精神是第一代北大荒人通过奋斗铸就的。
22,“青藏铁路精神”体现了（ ）的精神风貌。,挑战极限、勇创一流,固步自封,逐利为先,A,青藏铁路精神是挑战极限、勇创一流。
23,老西藏精神是指“特别能吃苦、特别能战斗、特别能忍耐、（ ）”。,特别能奉献,特别能团结,特别能致富,A,老西藏精神是特别能吃苦、特别能战斗、特别能忍耐、特别能奉献。
24,（ ）是科学家精神的核心。,胸怀祖国、服务人民,追名逐利,单打独斗,A,科学家精神首要的是胸怀祖国、服务人民的爱国精神。
25,劳模精神的内涵是：爱岗敬业、争创一流，艰苦奋斗、勇于创新，（ ）。,淡泊名利、甘于奉献,追逐高薪,朝九晚五,A,这是对劳模精神的规范表述。
26,红船精神的内涵是：开天辟地、敢为人先的首创精神，坚定理想、百折不挠的奋斗精神，（ ）的奉献精神。,立党为公、忠诚为民,以身作则,廉洁奉公,A,红船精神的核心内涵是首创、奋斗、奉献。
27,（ ）精神在抗击特大震灾中铸就，展现了中华民族的脊梁。,抗震救灾精神,塞罕坝精神,女排精神,A,抗震救灾精神体现了万众一心、众志成城、不畏艰险、百折不挠、以人为本、尊重科学。
28,“牢记使命、艰苦创业、绿色发展”是（ ）的核心内容。,大庆精神,塞罕坝精神,右玉精神,B,塞罕坝林场建设者创造了荒原变林海的奇迹。
29,（ ）精神强调“为国争光、为民族争气”。,石油精神（大庆精神）,丝路精神,工匠精神,A,大庆精神、铁人精神的核心是爱国、创业、求实、奉献。
30,（ ）是志愿服务精神的集中体现，也是红色精神在当代的延续。,雷锋精神,长征精神,西柏坡精神,A,雷锋精神是志愿服务精神的精神家园和文化基因。
