序号,题目,选项A,选项B,选项C,正确答案,解析
1,志愿者精神的核心是（ ）。,奉献,友爱,进步,A,志愿者精神的核心是奉献。志愿者精神通常表述为“奉献、友爱、互助、进步”。
2,习近平总书记指出，（ ）是青年成才的必由之路。,闭门造车,艰苦奋斗,基层实践,C,习近平总书记多次强调，基层一线是人才成长的“磨刀石”，基层实践是青年成才的必由之路。
3,“大学生志愿服务西部计划”是一项由（ ）等部门联合实施的国家限额招募计划。,共青团中央、教育部、财政部、人力资源社会保障部,共青团中央、民政部、农业农村部,教育部、文化和旅游部、国家卫生健康委,A,西部计划由共青团中央、教育部、财政部、人力资源社会保障部共同组织实施。
4,习近平总书记致信祝贺中华志愿者协会成立十周年时强调，要弘扬（ ），为全面建设社会主义现代化国家贡献力量。,奉献精神,雷锋精神,志愿精神,C,总书记在贺信中强调，要弘扬志愿精神，以实际行动书写新时代的雷锋故事。
5,（ ）是志愿服务的根本宗旨。,互助进步,全心全意为人民服务,服务社会、提升自我,B,志愿服务本质上是公益活动，其根本宗旨与党的宗旨一致，即全心全意为人民服务。
6,习近平总书记给“本禹志愿服务队”回信中提到，希望青年志愿者们坚持与（ ）同行。,时代,人民,祖国,C,总书记在信中强调，希望青年志愿者们坚持与祖国同行、为人民奉献。
7,西部计划的服务内容不包括（ ）。,乡村教育,乡村振兴,大型商业运营,C,西部计划的服务内容主要涵盖乡村教育、乡村建设、乡村振兴、健康乡村、基层青年工作、乡村社会治理等，不包含商业运营。
8,志愿服务中“互助”的含义是（ ）。,单向施舍,共同进步、相互扶持,换取报酬,B,互助是指在志愿服务过程中，志愿者与服务对象、志愿者之间相互支持、共同提升。
9,习近平总书记强调，（ ）是广大青年锤炼意志、增长才干的大课堂。,写字楼,高校实验室,基层,C,基层是广大青年了解国情、增长才干、磨砺意志的重要场所。
10,中国青年志愿者的标志是（ ）。,红五星,“心手标”,和平鸽,B,中国青年志愿者标志即“心手标”，由爱心、手掌和鸽子造型组成。
11,志愿服务的“三感”是指成就感、归属感和（ ）。,获得感,荣誉感,幸福感,B,在志愿服务激励机制中，通常强调通过荣誉感、归属感和成就感来增强志愿者的参与热情。
12,习近平总书记指出，（ ）是广大志愿者奉献爱心、服务社会的重要平台。,志愿服务,社会兼职,社区义工,A,志愿服务是广大志愿者奉献爱心、服务社会的重要平台，也是社会文明进步的重要标志。
13,（ ）是新时代志愿服务事业发展的根本遵循。,习近平总书记关于志愿服务的重要论述,民法典,社区工作条例,A,习近平总书记关于志愿服务的重要论述为新时代中国志愿服务指明了方向。
14,西部计划志愿者服务期为（ ）年。,1-2,1-3,2-5,B,西部计划志愿者服务期为1-3年，鼓励连续服务。
15,习近平总书记强调，广大青年要到（ ）去，到祖国最需要的地方去。,基层一线,大城市,海外市场,A,“到基层去，到中西部去，到祖国最需要的地方去”是西部计划的核心号召。
16,志愿服务的基本特征包括自愿性、公益性和（ ）。,营利性,非报酬性,随意性,B,志愿服务是指不以获取报酬为目的，自愿贡献力量。
17,（ ）是引导青年深入基层、了解国情的重要方式。,旅游观光,社会实践,网络社交,B,社会实践（含志愿服务）是青年学生接触社会、服务基层的关键路径。
18,习近平总书记在纪念五四运动100周年大会上强调，（ ）是新时代中国青年运动的主题。,艰苦创新,实现中华民族伟大复兴的中国梦,发展互联网经济,B,实现中华民族伟大复兴的中国梦，是当代中国青年运动的时代主题。
19,志愿服务精神中的“进步”是指（ ）。,职位的晋升,社会文明程度和个人素质的提高,经济收入的增长,B,进步是指通过志愿活动促进社会和谐、推动人类进步及自我成长。
20,习近平总书记提出，青年要（ ），在为人民利益的不懈奋斗中书写青春华章。,立大志、明大德、成大才、担大任,唯利是图、见风使舵,安于现状、不思进取,A,这是总书记对新时代青年提出的明确期望和要求。
21,西部计划属于由共青团中央、教育部、财政部、人社部共同组织实施的（ ）。,大学生支农计划,大学生志愿服务西部计划,三支一扶计划,B,该计划全称为“大学生志愿服务西部计划”。
22,志愿者在服务过程中应遵循的首要原则是（ ）。,效率原则,自愿原则,报酬原则,B,自愿是志愿服务的首要特征和前提条件。
23,习近平总书记指出，（ ）是青春最亮丽的底色。,奋斗,时尚,享乐,A,奋斗是青春最亮丽的底色，行动是青年最有效的磨砺。
24,志愿服务在基层治理中的作用是（ ）。,替代政府职能,发挥协同作用，提供专业化服务,只管宣传,B,志愿服务是社会治理的重要补充，通过多元参与提升治理水平。
25,习近平总书记给中国石油大学（北京）克拉玛依校区毕业生的回信中，赞扬他们选择到（ ）工作。,上海,边疆基层,金融街,B,总书记在信中肯定了毕业生到边疆基层工作、志在四方的职业选择。
26,青年志愿者工作应坚持（ ）的工作机制。,商业化、市场化,项目化、品牌化、专业化,短期化、临时化,B,项目化、品牌化和专业化是当前青年志愿者工作的主要发展趋势。
27,（ ）是志愿服务的生命力所在。,群众满意,政府拨款,媒体曝光,A,志愿服务的效果最终要体现在服务对象的满意度和社会效益上。
28,习近平总书记强调，（ ）是青年一代的必修课。,艰苦奋斗,物质享受,盲目跟风,A,艰苦奋斗不仅是优良传统，也是青年成长成才的必修课。
29,在乡村振兴中，青年志愿者的主要职责是（ ）。,担任村长,提供智力支持和技术服务,买断农村土地,B,青年志愿者通过科技、支教、医疗服务等形式为乡村振兴贡献力量。
30,（ ）是开展志愿服务的载体。,志愿服务组织,私人聚会,购物中心,A,志愿服务组织（如青协、公益社团）是志愿者开展活动的主要载体。
