序号,题目,选项A,选项B,选项C,正确答案,解析
1,西部计划志愿者安全自护的首要原则是（ ）。,勇往直前,生命至上、预防为主,个人奋斗,B,【解析】安全是服务的前提。背诵点：生命至上、预防为主。
2,在高原地区服务，预防高原反应的有效方法是（ ）。,剧烈运动以适应环境,多喝热水、休息充足、缓慢适应,大量饮酒,B,【解析】高原反应重在预防，过度劳累会加重病情。
3,志愿者在西部服务期间，若遇到地震，正确的做法是（ ）。,从高楼跳下,就近躲在坚固家具旁或承重墙角，震后有序撤离,留在室内大声哭喊,B,【解析】“伏地、遮挡、手抓牢”是基本避震口诀。
4,在偏远乡村服务，饮用水安全方面应注意（ ）。,直接饮用河水,烧开后再饮用，防止寄生虫和肠道疾病,只喝碳酸饮料,B,【解析】基层卫生条件有限，生水可能携带细菌和寄生虫。
5,关于交通安全，志愿者在西部山区乘车时应当（ ）。,乘坐无证黑车,尽量选择合规营运车辆，系好安全带,站在卡车车斗里,B,【解析】山区路况复杂，合规营运车辆更有保障。
6,志愿者遭遇网络电信诈骗时，应当（ ）。,按对方要求转账,挂断电话并拨打96110或110报警,告知对方银行卡密码,B,【解析】防范电信诈骗，牢记“不听、不信、不转账”。
7,在服务地发生纠纷时，志愿者应当（ ）。,暴力解决,保持冷静，寻求组织（服务单位、县项目办）协助,忍气吞声,B,【解析】通过正当渠道解决问题，防止事态扩大。
8,野外调研或走访时，应尽量（ ）。,独自行动,结伴而行并告知同事去向,在深夜出发,B,【解析】结伴而行可互相关照，规避意外风险。
9,关于用电安全，宿舍内严禁（ ）。,使用符合国标的充电器,私拉乱接电线或使用大功率违章电器,使用LED台灯,B,【解析】老旧房屋或宿舍线路负荷有限，易引发火灾。
10,预防中暑的措施不包括（ ）。,高温时段减少户外活动,补充盐开水,长时间暴晒,C,【解析】高温作业应注意遮阳和水分补给。
11,志愿者应随身携带常用的（ ）以备不时之需。,名牌包,急救药品（如创可贴、消炎药、感冒药等）,大量现金,B,【解析】常备药品能应对突发的小伤小病。
12,遭遇洪水或泥石流时，应（ ）。,向地势低平处跑,向垂直于水流或泥石流方向的两侧高处跑,爬到土房顶上,B,【解析】寻找高处稳固地点是求生关键。
13,关于宿舍消防安全，下列做法正确的是（ ）。,卧床吸烟,了解灭火器位置及使用方法，保持疏散通道畅通,在室内堆放大量纸箱,B,【解析】防范火灾，重在掌握逃生技能。
14,西部计划志愿者心理自护的方法包括（ ）。,自我封闭,主动与朋友、辅导员沟通，通过运动、听音乐缓解压力,过度焦虑,B,【解析】保持心理健康与身体健康同样重要。
15,被毒蛇咬伤后，第一步应当（ ）。,剧烈跑步寻医,在伤口近心端进行结扎，限制毒液扩散并迅速就医,切掉手指,B,【解析】科学施救，减缓毒素吸收。
16,志愿者在寒冷地区服务，预防冻伤的重点是（ ）。,暴露皮肤在风雪中,做好手、足、耳部的保暖，保持干燥,长时间坐着不动,B,【解析】保暖和促进血液循环是关键。
17,在社交平台上发布位置信息，应当注意（ ）。,泄露家庭详细住址,隐藏敏感坐标，不随意暴露具体工作地点详情,实时广播行程,B,【解析】防止不法分子利用位置信息实施跟踪或侵害。
18,发现火灾时，首选的逃生方法是（ ）。,用湿毛巾捂住口鼻，低姿态沿疏散通道撤离,乘电梯下楼,从窗户直接跳出,A,【解析】火灾中浓烟危害巨大，低姿态能获取更多氧气。
19,关于饮食安全，志愿者应当（ ）。,食用来源不明的野生菌,少吃生冷食物，确保肉类熟透,购买三无产品,B,【解析】严防病从口入。
20,遇到陌生人搭讪并提供饮料时，应当（ ）。,大口饮用,保持警惕，礼貌拒绝,随便拿来给别人喝,B,【解析】防人之心不可无。
21,志愿者在服务期内，（ ）私自到未开发的自然保护区或危险地段旅游。,可以,严禁,只要身体好就可以,B,【解析】擅自冒险不仅是对自己不负责，也会给组织带来巨大负担。
22,遭遇森林火灾时，应（ ）。,顺风逃生,逆风向两侧撤离，或在植被稀疏处躲避,跳入深井,B,【解析】火随风长，顺风跑极易被卷入火场。
23,志愿者应当学习基本的CPR（心肺复苏）技术，这属于（ ）。,国防教育,急救自护技能,保密教育,B,【解析】关键时刻能救命。
24,在西部服务，如需自驾，必须（ ）。,持有合法驾驶证且具备山路驾驶经验,只要会开就行,让没驾照的室友开,A,【解析】山路驾驶风险极高，不能掉以轻心。
25,若收到可疑包裹，正确的做法是（ ）。,暴力拆解,不轻易开启，观察有无异味或可疑物质，必要时报警,拿回宿舍放着,B,【解析】防范邮件炸弹或有毒物质。
26,预防犬类或其他野生动物咬伤，应避免（ ）。,给流浪动物喂食,主动挑衅、追赶动物,穿长裤,B,【解析】不干扰野外生物的生活习性。
27,对于心理压力过大可能导致的抑郁或焦虑，志愿者应寻求（ ）。,只有借酒消愁,专业心理咨询或向县项目办反馈寻求帮助,辞职了事,B,【解析】重视精神卫生。
28,在宿舍存放个人财物时（ ）。,贵重物品随处乱放,妥善锁好，不向陌生人透露存款信息,把密码写在门上,B,【解析】加强财物安全防范。
29,关于防溺水，志愿者应当（ ）。,到野外无保护的水域游泳,去正规有救生员的泳池,在雷雨天垂钓,B,【解析】水域环境复杂，切莫轻易试水。
30,安全自护的最终目的是（ ）。,当一名“宅男/宅女”,平安服务，学成归来，实现青春理想,逃避工作任务,B,【解析】平平安安去，高高兴兴回。
