序号,题目,选项A,选项B,选项C,正确答案,解析
1,中国共产党历史上第一次全国代表大会召开于哪一年？,1919年,1921年,1923年,B,1921年7月23日，中国共产党第一次全国代表大会在上海召开，随后转移至浙江嘉兴南湖红船上完成，标志着中国共产党正式成立，中国历史由此开启新篇章。
2,遵义会议的历史意义是什么？,确立了毛泽东思想为党的指导思想,在危急关头挽救了党、挽救了红军、挽救了中国革命,标志着中国共产党从幼年走向成熟,B,1935年1月遵义会议是中国共产党历史上一个生死攸关的转折点，确立了毛泽东在红军和党中央的领导地位，在危急关头挽救了党、挽救了红军、挽救了中国革命，是党的历史上一次具有深远意义的伟大转折。
3,中国人民抗日战争胜利的时间是哪一年？,1944年,1945年,1946年,B,1945年8月15日，日本宣布无条件投降，9月2日正式签署投降书，中国人民抗日战争胜利结束。这场战争历时14年（从1931年九一八事变算起），是中华民族近代以来反抗外敌入侵取得的第一次完全胜利。
4,中华人民共和国成立于哪一年哪一天？,1949年10月1日,1949年9月21日,1950年1月1日,A,1949年10月1日，毛泽东主席在天安门城楼上向全世界庄严宣告中华人民共和国成立，中国人民从此站起来了，中华民族的发展从此开启了新纪元。
5,党的十一届三中全会召开于哪一年，有何重大历史意义？,1976年，宣告文化大革命结束,1978年，开启了改革开放和社会主义现代化建设新时期,1981年，通过了关于建国以来党的若干历史问题的决议,B,"1978年12月，党的十一届三中全会在北京召开，全会冲破长期""左""的错误的严重束缚，确立了解放思想、实事求是的思想路线，作出了改革开放的历史性决策，开启了改革开放和社会主义现代化建设新时期，是中国历史上的一次伟大转折。"
6,改革开放是在哪次会议上正式确立的重大决策？,党的十二大,党的十一届三中全会,党的十三大,B,1978年党的十一届三中全会作出了把党和国家工作中心转移到经济建设上来、实行改革开放的历史性决策，是改革开放的起点，也是当代中国发展进步的活力之源。
7,社会主义建设史中，第一个五年计划（一五计划）完成于哪一年？,1953年,1957年,1960年,B,第一个五年计划（1953-1957年）于1957年完成，超额完成了各项指标，初步建立了我国的工业化基础，形成了以鞍钢为代表的一批重要工业基地，是中国工业化的奠基阶段。
8,"""四史""是指哪四段历史？",党史、国史、军史、外交史,党史、新中国史、改革开放史、社会主义发展史,党史、革命史、建设史、改革史,B,"""四史""是指中国共产党历史（党史）、中华人民共和国历史（新中国史）、改革开放历史（改革开放史）和社会主义发展历史（社会主义发展史），学习""四史""是增强""四个自信""的重要途径。"
9,中华文明的起源距今约多少年？,三千年,五千年,八千年,B,中华文明是世界上唯一绵延不断且以国家形态发展至今的伟大文明，有五千多年的悠久历史，是中华民族独特的精神标识和文化根脉，也是全人类的共同财富。
10,中华人民共和国第一部宪法颁布于哪一年？,1949年,1954年,1956年,B,1954年9月，第一届全国人民代表大会第一次会议在北京召开，通过了《中华人民共和国宪法》，这是新中国第一部社会主义类型的宪法，标志着人民代表大会制度正式确立。
