序号,题目,选项A,选项B,选项C,正确答案,解析
1,国家秘密的等级分为（ ）三级。,绝密、机密、秘密,内部、公开、核心,一级、二级、三级,A,【解析】《保密法》规定国家秘密等级分为绝密、机密、秘密。背诵点：三级划分。
2,下列哪种行为最容易导致泄密？（ ）,在涉密场所使用手机拍照并发朋友圈,使用涉密计算机处理公文,按照规定销毁涉密载体,A,【解析】智能手机具有定位、录音和拍照功能，在敏感地区乱拍易泄露军事或国家机密。
3,西部计划志愿者在服务过程中接触到的内部文件，应当（ ）。,带回宿舍阅读,严禁拍照、复印或私自外传,随手丢入垃圾桶,B,【解析】即使是非密级的内部文件，也应遵循管理规定，防止信息外传。
4,在互联网社交软件上（ ）国家秘密。,可以谈论,严禁非法获取、记录、存储和传递,只要分组可见就可以谈论,B,【解析】互联网不是保密之地，严禁“密上互联网”。
5,涉密载体是指以文字、数据、符号、图形、图像、声音等方式（ ）国家秘密的介质。,记录,传递,展示,A,【解析】凡是载有秘密信息的实体均为涉密载体。
6,离开涉密岗位的人员，应当（ ）。,立即出国,履行脱密期管理规定,销毁所有个人证件,B,【解析】脱密期内需遵守相关保密限制，不得泄露在岗时掌握的秘密。
7,志愿者在边疆服务时，若外国人员要求提供当地敏感地理信息，应（ ）。,礼貌提供,坚决拒绝并上报,收费提供,B,【解析】警惕针对志愿者的“谍影”，保护国家地理安全。
8,使用智能设备（如运动手环、智能音箱）时，在涉密场所应当（ ）。,正常佩戴,将其关闭或严禁带入,设置密码即可,B,【解析】智能设备可能成为潜在的监听工具。
9,关于涉密计算机的管理，下列做法错误的是（ ）。,严禁连接互联网,在涉密计算机上玩网络游戏,使用经过审计的U盘,B,【解析】涉密机严禁连接外网，更严禁处理非工作相关的娱乐。
10,保密纪律要求：不该说的秘密（ ）。,绝对不说,悄悄说,只跟家里人说,A,【解析】“十个不准”是保密的基本底线。
11,国家秘密受（ ）保护。,法律,个人信用,行业潜规则,A,【解析】保密法是保护国家机密的法律武器。
12,发现他人有泄密行为时，应当（ ）。,置若罔闻,及时制止并向有关部门报告,发朋友圈吐槽,B,【解析】每个公民都有维护国家秘密安全的义务。
13,处理秘密级以上信息的办公场所，应当（ ）。,对外开放,采取物理隔离和防范措施,安装透明玻璃,B,【解析】物理安全是信息安全的前提。
14,西部计划志愿者在撰写服务心得时，应当（ ）。,详细写出服务单位的坐标和内部机密,注意脱敏处理，不涉及国家机密和单位内部敏感信息,随意发挥,B,【解析】公开报道和自媒体发文必须经过保密审查。
15,故意泄露国家秘密，情节严重的（ ）。,通报批评,依法追究刑事责任,口头警告,B,【解析】泄密不仅仅是违纪，更是违法行为。
16,（ ）是保密工作的第一责任人。,保密员,单位负责人,新来的志愿者,B,【解析】单位一把手对本单位的保密工作负总责。
17,严禁将（ ）载体通过普通快递寄送。,书籍,涉密,衣服,B,【解析】涉密载体必须通过机要交通或专人送达。
18,关于社交媒体定位功能，志愿者在边疆敏感地区应当（ ）。,实时开启,谨慎开启或关闭，防止暴露敏感地点坐标,分享给所有人,B,【解析】大数据分析可能从志愿者轨迹中推断出敏感设施位置。
19,涉密会议期间，（ ）。,可以接听手机,严禁带入任何具有记录、传输功能的电子设备,可以自由出入,B,【解析】会议保密是保密工作的重点环节。
20,保密工作的基本原则是：最小化原则、（ ）原则和全程化原则。,最大化,授权,公开,B,【解析】知悉范围应限于工作需要的最小范围。
21,存储国家秘密的介质损坏后，应（ ）。,丢进垃圾桶,找校外电脑店维修,送交专门机构进行销毁或维修,C,【解析】防止残留数据被恢复。
22,志愿者在与家人视频通话时，不应（ ）。,展示服务地风景,谈论涉及国防、军事或未公开的政策内容,介绍当地风土人情,B,【解析】视频通话中也可能由于背景信息或言语导致泄密。
23,“绝密”级国家秘密的最长保密期限通常是（ ）。,10年,20年,30年,C,【解析】绝密级30年，机密级20年，秘密级10年。
24,国家秘密的标识通常为（ ）。,密级★保密期限,保密期限★密级,绝密、机密,A,【解析】规范标识有助于识别和管理。
25,在公共场所（如咖啡厅、图书馆）处理敏感工作任务时（ ）。,不宜使用公共WiFi且应防范偷窥,可以使用公共WiFi,没关系，别人看不懂,A,【解析】公共网络安全性差，极易被黑客截获数据。
26,保密审查的原则是（ ）。,谁公开、谁审查,先公开、后审查,不需要审查,A,【解析】发布信息前必须履行审批手续。
27,（ ）是做好保密工作的关键。,锁好门,提高人的保密意识,安装监控,B,【解析】人是保密工作中最活跃也是最脆弱的因素。
28,严禁在（ ）上存储涉密信息。,内网计算机,连接互联网的计算机或私人存储卡,光盘,B,【解析】严禁内外交替使用存储介质。
29,志愿者收到不确定的敏感信息时，应当（ ）。,立即转发,先核实是否涉密，不乱传乱发,存入手机相册,B,【解析】不信谣、不传谣、不泄密。
30,保密教育在西部计划培训中（ ）。,是可有可无的,是必须开展的安全教育内容,只有去西藏的人才需要学,B,【解析】全体志愿者都应具备基本的保密常识。
