序号,题目,选项A,选项B,选项C,正确答案,解析
1,党的民族工作的“主线”是（ ）。,经济建设,铸牢中华民族共同体意识,文化娱乐,B,【解析】中央民族工作会议明确指出，铸牢中华民族共同体意识是新时代党的民族工作的“纲”。
2,“中华民族多元一体”格局中，“多元”是指各民族的特性，“一体”是指（ ）。,完全同化,中华民族的共同性,行政上的统一,B,【解析】强调在尊重差异的同时，增强对中华民族大家庭的认同。
3,习近平总书记提出的“五个认同”包括：对伟大祖国、中华民族、中华文化、中国共产党和（ ）的认同。,资本主义道路,中国特色社会主义道路,西方价值观,B,【解析】“五个认同”是民族团结的思想基石。
4,（ ）是民族团结的基石。,文化认同,地理位置,宗教信仰,A,【解析】文化认同是最深层次的认同。背诵点：文化认同的地位。
5,我国解决民族问题的根本政治制度是（ ）。,基层群众自治制度,民族区域自治制度,多党合作制度,B,【解析】这是我国的一项基本政治制度。
6,各民族要像（ ）一样紧紧抱在一起。,石榴籽,沙子,星星,A,【解析】习近平总书记常用“石榴籽”形象地比喻各民族的大团结。
7,民族工作的“三个离不开”是指：汉族离不开少数民族，少数民族离不开汉族，（ ）。,少数民族之间也相互离不开,城镇离不开农村,科技离不开人文,A,【解析】体现了各民族共生共荣的关系。
8,解决民族问题的根本出发点和落脚点是（ ）。,各民族共同团结奋斗、共同繁荣发展,单一民族的快速致富,完全的市场化,A,【解析】这是我国民族政策的核心宗旨。
9,关于宗教工作，习近平总书记强调要坚持（ ）方向。,去宗教化,我国宗教中国化,西化,B,【解析】积极引导宗教与社会主义社会相适应。
10,西部计划志愿者在民族地区开展工作，必须坚持（ ）原则。,唯我独尊,平等、团结、互助、和谐,强制同化,B,【解析】这是我国社会主义民族关系的本质特征。
11,我们要构建（ ）的各民族共有精神家园。,单一文化,以中华文化为内核、各民族文化百花齐放,只有传统文化,B,【解析】强调精神层面的深度融合。
12,民族平等是指各民族（ ）。,经济收入完全一样,法律地位平等、享有同等权利,没有任何区别,B,【解析】平等是法律层面的基本权利保障。
13,（ ）是做好民族工作的关键。,给钱给物,人心工作,行政命令,B,【解析】民族工作本质上是群众工作，要争取人心。
14,志愿者在民族地区应尊重当地的（ ）。,所有行为,风俗习惯、宗教信仰和语言文字,不合理的陋习,B,【解析】尊重差异是开展工作的前提。
15,习近平总书记指出，各民族（ ）是各民族共同繁荣的前提。,交往交流交融,互相封闭,竞争角逐,A,【解析】通过“三交”促进感情融合、利益融合。
16,（ ）是中国特色解决民族问题正确道路的显著优势。,中国共产党的领导,地理面积大,资源丰富,A,【解析】党是民族工作的领导核心。
17,在民族地区开展“支教”，最重要的作用是（ ）。,单纯提高分数,促进国家通用语言文字普及和文化共识,取代当地文化,B,【解析】教育是铸牢中华民族共同体意识的长久之策。
18,关于“中华民族共同体意识”，下列理解错误的是（ ）。,它是一种政治认同,它等同于消除民族差异,它是一种文化归属感,B,【解析】它强调共同性，但不代表消灭健康的民族特色。
19,（ ）是实现各民族共同繁荣发展的必由之路。,闭关锁国,全面深化改革开放,等待国家拨款,B,【解析】通过发展解决民族地区的问题。
20,民族团结进步创建活动的载体不包括（ ）。,进学校、进社区、进企业,进宗教场所,进夜总会,C,【解析】创建活动要在主流社会空间开展。
21,习近平总书记强调，（ ）是民族地区发展的“总钥匙”。,发展,旅游,农业,A,【解析】发展是解决一切问题的基础。
22,我国共有（ ）个少数民族。,55,56,34,A,【解析】全国共有56个民族，除汉族外有55个少数民族。
23,志愿者在民族地区工作时，如果发现危害国家安全、破坏民族团结的行为，应当（ ）。,视而不见,及时向上级或有关部门报告,私自处理,B,【解析】维护稳定是志愿者的政治责任。
24,民族团结先进典型的评选应重点关注（ ）。,单纯的财富多少,在促进民族融合、维护稳定中的实际贡献,学历高低,B,【解析】评价导向是团结与奉献。
25,习近平总书记在考察内蒙古时提到，要守好（ ）。,边疆生态、民族团结、社会稳定“三条底线”,只有经济线,只有旅游线,A,【解析】这是对边疆民族地区工作的综合要求。
26,各民族在（ ）上的相互依存，是民族团结的物质基础。,经济,气候,体育,A,【解析】构建各民族互嵌式的社会结构和经济联系。
27,（ ）是中华民族的灵魂。,中华文化,外来文化,单纯的物质追求,A,【解析】文化是维系民族统一的纽带。
28,志愿者在民族地区开展工作，应学会（ ）。,当地基本用语、了解民族禁忌,指挥当地干部,不与人交流,A,【解析】掌握必要的沟通技能。
29,关于“民族优待政策”，国家目前的导向是（ ）。,长期化、绝对化,精准化、向更有利于铸牢意识的方向转变,全部取消,B,【解析】政策随时代发展进行科学调整。
30,铸牢中华民族共同体意识，归根到底是为了实现（ ）。,中华民族伟大复兴的中国梦,个人出名,简单的旅游创收,A,【解析】这是大局和终极目标。
