序号,题目,选项A,选项B,选项C,正确答案,解析
1,习近平新时代中国特色社会主义思想的核心内容是（ ）。,“十个明确”、“十四个坚持”、“十三个方面成就”,“八个明确”、“十四个坚持”,“五个文明”、“四个全面”,A,习近平新时代中国特色社会主义思想的核心内容是“十个明确”、“十四个坚持”、“十三个方面成就”，这是对马克思主义中国化时代化新的飞跃的系统总结。
2,确立习近平同志党中央的核心、全党的核心地位，确立习近平新时代中国特色社会主义思想的指导地位，对新时代党和国家事业发展、对推进中华民族伟大复兴进程具有决定性意义。这被称为（ ）。,“两个维护”,“两个确立”,“四个意识”,B,“两个确立”是指确立习近平同志党中央的核心、全党的核心地位，确立习近平新时代中国特色社会主义思想的指导地位。
3,中国特色社会主义最本质的特征是（ ）。,人民当家作主,依法治国,中国共产党领导,C,中国特色社会主义最本质的特征是中国共产党领导，中国特色社会主义制度的最大优势是中国共产党领导。
4,习近平新时代中国特色社会主义思想回答了（ ）这个重大时代课题。,什么是社会主义、怎样建设社会主义,新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义,建设什么样的党、怎样建设党,B,习近平新时代中国特色社会主义思想系统回答了新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义等重大时代课题。
5,新时代我国社会主要矛盾是（ ）。,人民日益增长的物质文化需要同落后的社会生产之间的矛盾,人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾,生产力和生产关系之间的矛盾,B,党的十九大指出，新时代我国社会主要矛盾是人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。
6,中国梦的核心内涵是（ ）。,国家富强、民族振兴、人民幸福,全面建成小康社会,实现社会主义现代化,A,中国梦的核心内涵是实现国家富强、民族振兴、人民幸福。
7,“四个自信”是指道路自信、理论自信、制度自信和（ ）。,政治自信,文化自信,思想自信,B,“四个自信”是指中国特色社会主义道路自信、理论自信、制度自信、文化自信。
8,中国特色社会主义事业总体布局是（ ）。,“四个全面”,“五位一体”,“六个坚持”,B,“五位一体”总体布局是指经济建设、政治建设、文化建设、社会建设、生态文明建设。
9,中国特色社会主义战略布局是（ ）。,“四个全面”,“五位一体”,“三步走”,A,“四个全面”战略布局是指全面建设社会主义现代化国家、全面深化改革、全面依法治国、全面从严治党。
10,习近平总书记指出，（ ）是第一生产力，（ ）是第一资源，（ ）是第一动力。,教育、科技、人才,科技、人才、创新,人才、科技、改革,B,习近平总书记在党的二十大报告中强调，科技是第一生产力、人才是第一资源、创新是第一动力。
11,全面深化改革的总目标是（ ）。,实现共同富裕,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,建设社会主义法治国家,B,全面深化改革的总目标是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化。
12,（ ）是新时代党的建设的根本方针。,坚持党要管党、全面从严治党,加强党的执政能力建设,保持党的先进性和纯洁性,A,新时代党的建设总体要求强调，要坚持和加强党的全面领导，坚持党要管党、全面从严治党。
