序号,题目,选项A,选项B,选项C,正确答案,解析
1,中国青年志愿者行动正式实施于（ ）。,1993年,1998年,2003年,A,【解析】1993年底，共青团中央组织实施了中国青年志愿者行动，标志着我国青年志愿服务事业正式拉开序幕。
2,中国青年志愿者协会（CYVA）成立于（ ）。,1993年,1994年,1995年,B,【解析】1994年12月，中国青年志愿者协会在北京成立，是由共青团中央发起的全国性志愿者组织。
3,大学生志愿服务西部计划于（ ）年正式启动实施。,2000年,2003年,2005年,B,【解析】2003年，团中央、教育部、财政部、人事部联合启动了西部计划，今年（2023/2024）已进入实施的第21个年头。
4,中国青年志愿者的“心手标”正式启用于（ ）。,1994年,1996年,2000年,A,【解析】“心手标”是在1994年中国青年志愿者协会成立时正式确定的标志。
5,我国第一部专门规范志愿服务的全国性法规《志愿服务条例》于（ ）起施行。,2017年12月1日,2018年1月1日,2019年10月1日,A,【解析】2017年国务院发布《志愿服务条例》，标志着中国志愿服务进入法制化轨道。
6,西部计划最初设立的五个子专项中，不包括以下哪项？（ ）,支教,支医,大型活动志愿服务,C,【解析】西部计划早期重点在于支教、支医、支农等基层服务。大型活动服务通常属于专项保障。
7,2008年北京奥运会常被认为是（ ）。,中国志愿者元年,中国职业经理人元年,中国互联网元年,A,【解析】2008年奥运会大规模的志愿者参与，使“志愿者”概念深入人心，社会普遍称之为“中国志愿者元年”。
8,中国青年志愿者行动的口号“奉献、友爱、互助、进步”是在哪一阶段逐步确立并广泛流传的？（ ）,20世纪90年代初,21世纪初,建党百年后,A,【解析】这八字精神在青年志愿者行动启动初期即作为核心价值体系确立。
9,西部计划的服务地主要集中在我国的（ ）。,东部沿海地区,中西部地区,境外地区,B,【解析】西部计划旨在引导大学毕业生到中西部基层特别是贫困地区贡献力量。
10,2013年，习近平总书记在给（ ）回信中，高度评价了该团队坚持十几年的志愿服务。,北京大学医疗队,华中农业大学“本禹志愿服务队”,保定学院毕业生,B,【解析】2013年12月5日国际志愿者日，总书记给“本禹志愿服务队”回信，意义深远。
11,以下哪个时间点是中国青年志愿者服务日？（ ）,3月5日,5月4日,12月5日,A,【解析】从2000年起，共青团中央将每年的3月5日（学雷锋纪念日）定为“中国青年志愿者服务日”。
12,国际志愿者日（International Volunteer Day）是每年的（ ）。,3月5日,10月1日,12月5日,C,【解析】联合国于1985年通过决议，确定每年的12月5日为国际志愿者日。
13,2019年，习近平总书记在天津考察时，对（ ）志愿者点赞，称他们是新时代最可爱的人。,社区,抗疫,支教,A,【解析】2019年1月，总书记在天津考察时称赞社区志愿者是新时代最可爱的人。
14,西部计划志愿者在服务期满后，若考核合格，在报考研究生时可享受（ ）政策。,初试加分,免试推荐,直接录取,A,【解析】符合条件的西部计划志愿者考研初试可加10分（具体政策以当年发布为准）。
15,建党100周年庆典中，志愿者被称为（ ）。,最亮丽的风景线,主力军,后备军,A,【解析】重大庆典中，志愿者以专业、热情的服务成为展示国家形象的重要窗口。
16,我国志愿服务管理在制度化建设上的里程碑是（ ）。,建立志愿者实名注册制度,发放志愿者补贴,组织境外交流,A,【解析】实名注册和时长记录标志着管理从粗放到精细、制度化的转变。
17,西部计划的实施部门不包括（ ）。,教育部,财政部,商务部,C,【解析】西部计划由团中央、教育部、财政部、人社部联合实施。
18,（ ）年，大学生志愿服务西部计划开始招募研究生支教团成员。,1998年,2003年,2010年,A,【解析】研究生支教团行动始于1998年，后并入西部计划体系。
19,我国志愿服务的主要发展趋势是（ ）。,业余化、随意化,专业化、项目化、规范化,行政化、强制化,B,【解析】现代志愿服务强调利用专业优势解决社会问题。
20,2020年抗击新冠肺炎疫情中，广大志愿者展现了（ ）。,避重就轻,不畏艰险、冲锋在前,观望等待,B,【解析】抗疫志愿者精神是红色精神在当代的生动实践。
21,中国青年志愿者行动的初衷之一是（ ）。,替代政府职能,建立与市场经济体制相适应的社会互助机制,解决就业问题,B,【解析】90年代初期启动此行动是为了在市场经济环境下重塑社会责任。
22,西部计划志愿者服务期满后的“就业促进计划”主要面向（ ）。,海外市场,基层基层及中西部地区,一线城市金融业,B,【解析】国家鼓励志愿者期满后留在当地或回乡支持基层建设。
23,“本禹志愿服务队”的创始人徐本禹最初支教的省份是（ ）。,贵州省,西藏自治区,新疆维吾尔自治区,A,【解析】徐本禹在贵州大石希望小学支教的事迹曾感动中国。
24,关于西部计划的资金保障，表述正确的是（ ）。,由高校自行负担,中央财政支出为主，地方财政为辅,由志愿者个人负担,B,【解析】西部计划志愿者在岗期间的生活补贴由中央及地方财政共同保障。
25,志愿服务事业在我国（ ）时期得到了跨越式发展。,改革开放后,“文革”期间,清末民初,A,【解析】改革开放为社会组织的成长和公民意识的觉醒提供了土壤。
26,西部计划的岗位设置每年会根据（ ）进行调整。,志愿者意愿,国家重大发展战略和基层实际需求,高校专业设置,B,【解析】如近年来增加了乡村振兴、基层社会治理等岗位的比重。
27,中国青年志愿者协会的最高权力机构是（ ）。,常务理事会,会员代表大会,秘书处,B,【解析】会员代表大会行使制定章程、选举理事等最高职权。
28,2014年，团中央启动了（ ）计划，进一步规范了志愿者管理。,志愿者证,志愿者实名注册,志愿者打卡计划,B,【解析】实名制是信息化、常态化管理的基石。
29,我国志愿服务中“邻里守望”主要针对的是（ ）场景。,大型赛会,社区居家养老及互助,应急抢险,B,【解析】邻里守望是社区志愿服务的核心载体。
30,“到西部去，到基层去，到祖国最需要的地方去”这句口号最能体现（ ）。,西部计划的初心和使命,城市化进程,消费升级,A,【解析】这句话激励了数以万计的青年投身西部建设。
