序号,题目,选项A,选项B,选项C,正确答案,解析
1,习近平总书记在党的十九大报告中对青年寄予厚望，指出青年一代有什么，中华民族就有什么？,理想、本领、担当，国家就有前途，民族就有希望,信仰、能力、奉献，党就有力量，国家就有希望,梦想、智慧、勇气，复兴就有动力，社会就有活力,A,习近平总书记在党的十九大报告中指出：青年兴则国家兴，青年强则国家强。青年一代有理想、有本领、有担当，国家就有前途，民族就有希望。这是对青年的高度肯定和殷切期望。
2,习近平总书记在纪念五四运动100周年大会上的讲话中，对新时代中国青年提出了哪些要求？,树立远大理想、热爱伟大祖国、担当时代责任、勇于砥砺奋斗、练就过硬本领、锤炼品德修为,爱国奉献、刻苦学习、勇于创新、艰苦奋斗、团结协作、服务社会,坚定理想信念、勤奋学习工作、积极投身实践、自觉服务人民、维护社会稳定,A,2019年4月，习近平总书记在纪念五四运动100周年大会上对新时代中国青年提出六点要求：树立远大理想、热爱伟大祖国、担当时代责任、勇于砥砺奋斗、练就过硬本领、锤炼品德修为，这是新时代青年成长成才的根本遵循。
3,习近平总书记强调，青年要把个人理想与什么紧密结合？,家庭幸福与社会责任,党和国家事业、民族复兴伟业,职业发展与人生规划,B,习近平总书记多次强调，青年要把个人的理想追求融入党和国家事业之中，与时代同步伐，与人民共命运，将个人梦想融入中国梦，在实现中华民族伟大复兴的历史进程中书写人生华章。
4,习近平总书记在给大学生村官的回信中，鼓励他们扎根基层的原因是什么？,基层工作薪资待遇好,基层是青年磨砺意志、增长才干的广阔舞台,基层工作晋升机会多,B,习近平总书记鼓励青年到基层去、到艰苦地方去，强调基层是青年磨砺意志、增长才干的广阔舞台，广阔天地大有作为，青年要在基层一线经风雨、见世面、壮筋骨、长才干。
5,习近平总书记指出，青年要自觉践行什么价值观？,集体主义价值观,社会主义核心价值观,爱国主义价值观,B,习近平总书记强调，青年要自觉践行社会主义核心价值观，使社会主义核心价值观成为自己的基本遵循，并身体力行将其推广到社会上去。社会主义核心价值观是当代中国精神的集中体现。
6,习近平总书记在中国人民大学考察时强调，思政课的本质是什么？,知识传授课,讲道理的课,政治教育课,B,2022年4月，习近平总书记在中国人民大学考察时强调，思政课的本质是讲道理，要注重方式方法，把道理讲深、讲透、讲活，老师要用心教，学生要用心悟，达到沟通心灵、启智润心、激扬斗志的效果。
7,"习近平总书记对青年提出""四个正确认识""，其中第一个是什么？",正确认识世界和中国发展大势,正确认识远大抱负和脚踏实地,正确认识时代责任和历史使命,A,"习近平总书记对青年提出的""四个正确认识""是：正确认识世界和中国发展大势；正确认识中国特色和国际比较；正确认识时代责任和历史使命；正确认识远大抱负和脚踏实地。第一个是正确认识世界和中国发展大势。"
8,习近平总书记曾在梁家河插队七年，他常说的一句话体现了什么精神？,"""我将无我，不负人民""——无私奉献精神","""陕西是根，延安是魂，延川是我第二故乡""——艰苦奋斗与扎根基层精神","""空谈误国，实干兴邦""——实干精神",B,习近平总书记在陕西延川梁家河插队七年的亲身经历，使他深刻体会到基层艰苦生活的磨砺价值。他常说陕西是根、延安是魂，这段经历培养了他与人民群众的深厚感情和艰苦奋斗、扎根基层的精神品格，也是他鼓励青年到基层锻炼的重要实践依据。
9,"习近平总书记强调，青年要有""功成不必在我""的精神境界和什么的历史担当？","""敢为人先""","""功成必定有我""","""舍我其谁""",B,"习近平总书记强调，""功成不必在我""并不是消极、怠政，而是要有""功成必定有我""的历史担当，要树立正确的政绩观，一张蓝图绘到底，一任接着一任干，久久为功，利在长远。"
10,"习近平总书记在给第三届中国""互联网+""大学生创新创业大赛""青年红色筑梦之旅""大学生的回信中，鼓励青年做什么？",专注科技创新，报效祖国,扎根中国大地了解国情民情，在创新创业中增长智慧才干，在艰苦奋斗中锤炼意志品质,勇于走出国门，参与国际竞争,B,习近平总书记在回信中鼓励大学生们扎根中国大地了解国情民情，在创新创业中增长智慧才干，在艰苦奋斗中锤炼意志品质，把激昂的青春梦融入伟大的中国梦，努力创造无愧于时代的业绩。
