序号,题目,选项A,选项B,选项C,正确答案,解析
1,吉林省位于中国东北地区中部，地处（ ）的几何中心。,东南亚,东北亚,北亚,B,【解析】吉林省地理位置优越，地处东北亚区域的几何中心。
2,吉林省东与（ ）接壤，东南隔鸭绿江、图们江与（ ）相望。,俄罗斯、朝鲜,俄罗斯、韩国,蒙古、朝鲜,A,【解析】吉林省具有独特的沿边优势，与俄罗斯、朝鲜两国相邻。
3,吉林省地势呈现出明显的（ ）特征。,东南高、西北低,西高东低,南高北低,A,【解析】吉林地势由东南向西北倾斜，东南部为长白山区，西北部为松辽平原。
4,吉林省最高峰是（ ），也是东北地区最高峰。,大黑山,白云峰,老岭,B,【解析】白云峰是长白山主峰，海拔2691米，是东北之巅。
5,吉林省最大的河流是（ ）。,松花江,嫩江,鸭绿江,A,【解析】松花江横贯吉林省，是省内第一大河。
6,被称为“东北水塔”，发源了松花江、图们江、鸭绿江的山脉是（ ）。,大兴安岭,长白山,小兴安岭,B,【解析】长白山是三江发源地，生态地位极其重要。
7,吉林省的主要气候类型是（ ）。,温带大陆性气候,温带季风气候,温带海洋性气候,B,【解析】吉林省四季分明，雨热同季，属于典型季风气候。
8,吉林省全省人均耕地面积是全国平均水平的（ ）倍左右。,1,2,3,B,【解析】吉林省人均耕地资源丰富，是国家重要的商品粮基地。
9,吉林省中部平原地区处于世界三大（ ）之一。,黄金水稻带,黄金玉米带,黄金小麦带,B,【解析】吉林中部与美国密西西比河平原、乌克兰平原并称世界三大黄金玉米带。
10,吉林省拥有的被称为“耕地中的大熊猫”的土壤是（ ）。,红土地,黑土地,黄土地,B,【解析】黑土地土质肥沃，吉林是黑土地保护的主战场。
11,新中国第一家汽车制造厂“中国一汽”位于（ ）。,吉林市,长春市,四平市,B,【解析】长春是新中国汽车工业的摇篮，被称为“汽车城”。
12,被誉为“新中国电影事业摇篮”的机构是（ ）。,北京电影制片厂,长春电影制片厂,上海电影制片厂,B,【解析】长影（原东影）是新中国第一家制片厂。
13,吉林省拥有的被誉为“中国光学摇篮”的科研机构是（ ）。,长春光机所,中科院物理所,长春应化所,A,【解析】长春光机所为我国光学事业立下汗马功劳。
14,吉林省唯一的朝鲜族自治州是（ ）。,长白州,延边州,通化州,B,【解析】延边朝鲜族自治州是吉林省东部边境的重要行政区。
15,吉林省简称（ ），取自省名首字。,辽,黑,吉,C,【解析】这是基本省情常识。
16,吉林省境内最深、海拔最高、面积最大的火山湖是（ ）。,查干湖,长白山天池,松花湖,B,【解析】长白山天池是中朝界湖，也是火山活动形成的著名湖泊。
17,吉林省省会是（ ），因绿化率高被称为“北方春城”。,吉林市,长春市,延吉市,B,【解析】长春四季分明，夏季凉爽，森林覆盖率高。
18,吉林省唯一省市同名的地级市是（ ），它曾是吉林省省会。,吉林市,通化市,白城市,A,【解析】吉林市是中国唯一省市同名的城市。
19,吉林省森林覆盖率位居全国前列，主要集中在（ ）地区。,西部,中部,东部,C,【解析】东部长白山区森林资源最为丰富。
20,传统“东北三宝”中，主要产自吉林且以人工种植规模最大的是（ ）。,鹿茸,人参,貂皮,B,【解析】吉林省人参产量占全国总产量的60%以上。
21,吉林省西部地区著名的自然景观、以冬捕闻名的是（ ）。,查干湖,净月潭,向海,A,【解析】松原查干湖冬捕是国家级非物质文化遗产。
22,我国第一颗以省命名的自主研发商用高分辨率遥感卫星是（ ）。,北京一号,吉林一号,上海一号,B,【解析】长光卫星研发的“吉林一号”标志着吉林航天信息的突破。
23,吉林省下辖（ ）个地级市和（ ）个自治州。,"7, 2","8, 1","9, 0",B,【解析】吉林省下辖8个市、1个自治州。
24,吉林省境内属于世界文化遗产的古遗址位于（ ）市。,集安,临江,图们,A,【解析】集安高句丽王城、王陵及贵族墓葬是世界文化遗产。
25,吉林省唯一通往俄罗斯的铁路口岸位于（ ）。,图们,珲春,集安,B,【解析】珲春是吉林省对俄贸易的重要窗口。
26,被总书记称为“耕地中的大熊猫”的黑土地，其主要分布在吉林的（ ）。,东部山区,中部和西部平原区,南部丘陵区,B,【解析】中部松辽平原是黑土地核心区。
27,吉林省实施的“东进、中扩、西强”战略，其中“东进”重点发展（ ）。,粮食产业,特色资源产业和生态旅游,重型机械,B,【解析】东部侧重生态与特色农业（如药材）。
28,吉林省被誉为“中国高铁的名片”，制造高铁核心部件的企业是（ ）。,中车长客,一汽集团,长春光机所,A,【解析】中车长客是全球著名的高速动车组研发生产基地。
29,吉林省最西部的地级市、素有“鹤乡”之称的是（ ）。,松原市,白城市,辽源市,B,【解析】白城境内有向海、莫莫格等自然保护区。
30,“四保临江”战役遗址位于吉林省边境城市（ ）。,临江市,集安市,珲春市,A,【解析】临江是著名的革命老区。
31,吉林省的矿产资源中，（ ）储量居全国第一。,煤炭,油页岩,铁矿,B,【解析】吉林省油页岩资源极其丰富。
32,朝鲜族农乐舞是在吉林（ ）地区流传的世界级非遗。,长春,延边,通化,B,【解析】这是朝鲜族最具代表性的传统舞蹈。
33,吉林省地处中纬度温带，冬季气候（ ）。,温和湿润,寒冷漫长,炎热干燥,B,【解析】东北冬季寒冷是典型特征，利于冰雪产业。
34,吉林省境内发源并流向渤海的界河是（ ）。,松花江,鸭绿江,图们江,B,【解析】鸭绿江向西南注入黄海（渤海附近），图们江注入日本海。
35,长春净月潭被誉为（ ）的姊妹湖。,日月潭,西湖,太湖,A,【解析】长春净月潭与台湾日月潭结为姊妹湖。
36,吉林省唯一的朝鲜族自治县是（ ）。,安图县,长白县,伊通县,B,【解析】长白朝鲜族自治县位于白山市境内。
37,吉林省推进“（ ）”战略，旨在建设陆上能源基地。,陆上风光三峡,海上丝绸之路,西部大开发,A,【解析】利用西部风光资源建设清洁能源基地。
38,吉林省历史上曾隶属于（ ）行省（元代时期）。,辽阳,岭北,江浙,A,【解析】元代吉林地区归辽阳等处行中书省管辖。
39,被誉为“中国矿泉水之乡”的吉林边境县是（ ）。,靖宇县,安图县,抚松县,A,【解析】靖宇县矿泉水资源极其优质。
40,吉林省的主要出海口是通过（ ）实现“借港出海”。,天津港,俄罗斯扎鲁比诺港,大连港,B,【解析】珲春通过俄港实现内贸跨境运输。
41,吉林省与（ ）省、辽宁省并称为“东北三省”。,黑龙江,河北,内蒙古,A,【解析】东北三省指黑吉辽。
42,长春市的市花是（ ）。,丁香,君子兰,月季,B,【解析】君子兰是长春市的文化名片。
43,吉林省被称为“东北药库”，其中最著名的道地药材是（ ）。,当归,长白山人参,枸杞,B,【解析】人参是长白山的代表性药材。
44,吉林省边境地区的主要地形是（ ）。,平原,山地、丘陵,盆地,B,【解析】东部边境多为长白山余脉。
45,吉林省粮食总产量连续多年位居全国（ ）。,前列（前五名）,末尾,第十名左右,A,【解析】吉林是产粮大省。
46,吉林省的“一号工程”通常指（ ）的建设和发展。,汽车产业升级,黑土地保护,冰雪旅游,A,【解析】在不同时期可能有所指，但汽车工业始终是吉林发展的核心。
47,吉林省西部地区常见的自然灾害是（ ）。,滑坡,干旱和土地盐碱化,洪涝,B,【解析】西部生态较为脆弱，防沙治碱是重点。
48,吉林省境内唯一的满族自治县是（ ）。,伊通满族自治县,前郭尔罗斯蒙古族自治县,长白朝鲜族自治县,A,【解析】伊通隶属于四平市。
49,吉林省在全国率先实现了（ ）全覆盖（针对农村道路）。,柏油路,水泥路,信息化网络,B,【解析】交通基础设施建设成就显著。
50,大学生志愿服务西部计划志愿者在吉林服务，展现的是（ ）精神。,艰苦创业,奉献、友爱、互助、进步,开拓进取,B,【解析】志愿精神是核心。
